cropped_image_path,item_id,split
/kaggle/working/cropped_images/02_1_front.jpg,id_00000002,train
/kaggle/working/cropped_images/02_2_side.jpg,id_00000002,train
/kaggle/working/cropped_images/02_4_full.jpg,id_00000002,train
/kaggle/working/cropped_images/02_7_additional.jpg,id_00000002,train
/kaggle/working/cropped_images/02_1_front.jpg,id_00000003,train
/kaggle/working/cropped_images/02_2_side.jpg,id_00000003,train
/kaggle/working/cropped_images/02_3_back.jpg,id_00000003,train
/kaggle/working/cropped_images/02_4_full.jpg,id_00000003,train
/kaggle/working/cropped_images/02_7_additional.jpg,id_00000003,train
/kaggle/working/cropped_images/03_1_front.jpg,id_00000004,train
/kaggle/working/cropped_images/03_3_back.jpg,id_00000004,train
/kaggle/working/cropped_images/03_7_additional.jpg,id_00000004,train
/kaggle/working/cropped_images/05_1_front.jpg,id_00000004,train
/kaggle/working/cropped_images/05_2_side.jpg,id_00000004,train
/kaggle/working/cropped_images/05_7_additional.jpg,id_00000004,train
/kaggle/working/cropped_images/02_1_front.jpg,id_00000005,train
/kaggle/working/cropped_images/02_2_side.jpg,id_00000005,train
/kaggle/working/cropped_images/02_4_full.jpg,id_00000005,train
/kaggle/working/cropped_images/02_7_additional.jpg,id_00000005,train
/kaggle/working/cropped_images/01_1_front.jpg,id_00000006,train
/kaggle/working/cropped_images/01_2_side.jpg,id_00000006,train
/kaggle/working/cropped_images/01_3_back.jpg,id_00000006,train
/kaggle/working/cropped_images/01_6_flat.jpg,id_00000006,train
/kaggle/working/cropped_images/01_7_additional.jpg,id_00000006,train
/kaggle/working/cropped_images/02_1_front.jpg,id_00000006,train
/kaggle/working/cropped_images/02_2_side.jpg,id_00000006,train
/kaggle/working/cropped_images/02_3_back.jpg,id_00000006,train
/kaggle/working/cropped_images/02_6_flat.jpg,id_00000006,train
/kaggle/working/cropped_images/02_7_additional.jpg,id_00000006,train
/kaggle/working/cropped_images/02_1_front.jpg,id_00000009,train
/kaggle/working/cropped_images/02_2_side.jpg,id_00000009,train
/kaggle/working/cropped_images/02_3_back.jpg,id_00000009,train
/kaggle/working/cropped_images/02_4_full.jpg,id_00000009,train
/kaggle/working/cropped_images/02_7_additional.jpg,id_00000009,train
/kaggle/working/cropped_images/01_1_front.jpg,id_00000010,train
/kaggle/working/cropped_images/01_2_side.jpg,id_00000010,train
/kaggle/working/cropped_images/01_4_full.jpg,id_00000010,train
/kaggle/working/cropped_images/01_7_additional.jpg,id_00000010,train
/kaggle/working/cropped_images/02_1_front.jpg,id_00000010,train
/kaggle/working/cropped_images/02_2_side.jpg,id_00000010,train
/kaggle/working/cropped_images/02_7_additional.jpg,id_00000010,train
/kaggle/working/cropped_images/03_1_front.jpg,id_00000013,train
/kaggle/working/cropped_images/03_2_side.jpg,id_00000013,train
/kaggle/working/cropped_images/03_3_back.jpg,id_00000013,train
/kaggle/working/cropped_images/03_4_full.jpg,id_00000013,train
/kaggle/working/cropped_images/03_7_additional.jpg,id_00000013,train
/kaggle/working/cropped_images/05_1_front.jpg,id_00000013,train
/kaggle/working/cropped_images/05_2_side.jpg,id_00000013,train
/kaggle/working/cropped_images/05_4_full.jpg,id_00000013,train
/kaggle/working/cropped_images/05_7_additional.jpg,id_00000013,train
/kaggle/working/cropped_images/01_1_front.jpg,id_00000014,train
/kaggle/working/cropped_images/01_2_side.jpg,id_00000014,train
/kaggle/working/cropped_images/01_3_back.jpg,id_00000014,train
/kaggle/working/cropped_images/01_4_full.jpg,id_00000014,train
/kaggle/working/cropped_images/02_1_front.jpg,id_00000018,train
/kaggle/working/cropped_images/02_3_back.jpg,id_00000018,train
/kaggle/working/cropped_images/02_7_additional.jpg,id_00000018,train
/kaggle/working/cropped_images/04_1_front.jpg,id_00000020,train
/kaggle/working/cropped_images/04_2_side.jpg,id_00000020,train
/kaggle/working/cropped_images/04_3_back.jpg,id_00000020,train
/kaggle/working/cropped_images/04_7_additional.jpg,id_00000020,train
/kaggle/working/cropped_images/05_1_front.jpg,id_00000020,train
/kaggle/working/cropped_images/05_2_side.jpg,id_00000020,train
/kaggle/working/cropped_images/05_3_back.jpg,id_00000020,train
/kaggle/working/cropped_images/05_7_additional.jpg,id_00000020,train
/kaggle/working/cropped_images/06_1_front.jpg,id_00000020,train
/kaggle/working/cropped_images/06_3_back.jpg,id_00000020,train
/kaggle/working/cropped_images/06_4_full.jpg,id_00000020,train
/kaggle/working/cropped_images/06_7_additional.jpg,id_00000020,train
/kaggle/working/cropped_images/02_1_front.jpg,id_00000022,train
/kaggle/working/cropped_images/02_2_side.jpg,id_00000022,train
/kaggle/working/cropped_images/02_3_back.jpg,id_00000022,train
/kaggle/working/cropped_images/02_4_full.jpg,id_00000022,train
/kaggle/working/cropped_images/02_7_additional.jpg,id_00000022,train
/kaggle/working/cropped_images/01_1_front.jpg,id_00000023,train
/kaggle/working/cropped_images/01_2_side.jpg,id_00000023,train
/kaggle/working/cropped_images/01_3_back.jpg,id_00000023,train
/kaggle/working/cropped_images/01_4_full.jpg,id_00000023,train
/kaggle/working/cropped_images/04_1_front.jpg,id_00000024,train
/kaggle/working/cropped_images/04_2_side.jpg,id_00000024,train
/kaggle/working/cropped_images/04_3_back.jpg,id_00000024,train
/kaggle/working/cropped_images/04_4_full.jpg,id_00000024,train
/kaggle/working/cropped_images/05_1_front.jpg,id_00000025,train
/kaggle/working/cropped_images/05_2_side.jpg,id_00000025,train
/kaggle/working/cropped_images/05_3_back.jpg,id_00000025,train
/kaggle/working/cropped_images/05_4_full.jpg,id_00000025,train
/kaggle/working/cropped_images/03_1_front.jpg,id_00000030,train
/kaggle/working/cropped_images/03_2_side.jpg,id_00000030,train
/kaggle/working/cropped_images/03_3_back.jpg,id_00000030,train
/kaggle/working/cropped_images/03_7_additional.jpg,id_00000030,train
/kaggle/working/cropped_images/04_1_front.jpg,id_00000030,train
/kaggle/working/cropped_images/04_2_side.jpg,id_00000030,train
/kaggle/working/cropped_images/04_3_back.jpg,id_00000030,train
/kaggle/working/cropped_images/04_7_additional.jpg,id_00000030,train
/kaggle/working/cropped_images/03_1_front.jpg,id_00000032,train
/kaggle/working/cropped_images/03_2_side.jpg,id_00000032,train
/kaggle/working/cropped_images/03_3_back.jpg,id_00000032,train
/kaggle/working/cropped_images/04_1_front.jpg,id_00000032,train
/kaggle/working/cropped_images/04_2_side.jpg,id_00000032,train
