item_id,image_path,caption
id_00000001,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_WOMEN_Blouses_Shirts_id_00000001_02_1_front.jpg,women blouses clothing
id_00000001,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_WOMEN_Blouses_Shirts_id_00000001_02_3_back.jpg,women blouses clothing
id_00000007,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_WOMEN_Tees_Tanks_id_00000007_01_1_front.jpg,women tees clothing
id_00000007,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_WOMEN_Tees_Tanks_id_00000007_01_3_back.jpg,women tees clothing
id_00000008,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_WOMEN_Dresses_id_00000008_02_3_back.jpg,women dresses clothing
id_00000011,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_WOMEN_Dresses_id_00000011_02_1_front.jpg,women dresses clothing
id_00000012,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_WOMEN_Tees_Tanks_id_00000012_02_1_front.jpg,women tees clothing
id_00000012,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_WOMEN_Tees_Tanks_id_00000012_02_2_side.jpg,women tees clothing
id_00000015,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_WOMEN_Blouses_Shirts_id_00000015_02_2_side.jpg,women blouses clothing
id_00000015,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_WOMEN_Blouses_Shirts_id_00000015_02_4_full.jpg,women blouses clothing
id_00000016,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_MEN_Sweaters_id_00000016_01_1_front.jpg,men sweaters clothing
id_00000016,/kaggle/input/datasets/ankithkini/preprocessed-deepfashion-input/split_images/gallery/img_MEN_Sweaters_id_00000016_01_3_back.jpg,men sweaters clothing
